Size,Close,Medium,Loose
M1.6,1.7,1.8,2
M2,2.2,2.4,2.6
M2.5,2.7,2.9,3.1
M3,3.2,3.4,3.6
M4,4.3,4.5,4.8
M5,5.3,5.5,5.8
M6,6.4,6.6,7
M7,7.4,7.6,8
M8,8.4,9,10
M10,10.5,11,12
M12,13,14,15
M14,15,16,17
M16,17,18,19
M18,19,20,21
M20,21,22,24
M22,23,24,26
M24,25,26,28
M27,28,30,32
M30,31,33,35
M33,34,36,38
M36,37,39,42
M39,40,42,45
M42,43,45,48
M45,46,48,52
M48,50,52,56
M52,54,56,62
M56,58,62,66
M60,62,66,70
M64,66,70,74
M68,70,74,78
M72,74,78,82
M76,78,82,86
M80,82,86,91
M85,87,91,96
M90,93,96,101
M95,98,101,107
M100,104,107,112
M105,109,112,117
M110,114,117,122
M115,119,122,127
M120,124,127,132
M125,129,132,137
M130,134,137,144
M140,144,147,155
M150,155,158,165
#0,#51,#48,3/32
#1,#46,#43,#37
#2,3/32,#38,#32
#3,#36,#32,#30
#4,#31,#30,#27
#5,9/64,5/32,11/64
#6,#23,#18,#13
#8,#15,#9,#3
#10,#5,#2,B
1/4,17/64,9/32,19/64
5/16,21/64,11/32,23/64
3/8,25/64,13/32,27/64
7/16,29/64,15/32,31/64
1/2,17/32,9/16,39/64
5/8,21/32,11/16,47/64
3/4,25/32,13/16,29/32
7/8,29/32,15/16,1 1/32
1,1 1/32,1 3/32,1 5/32
1 1/8,1 5/32,1 7/32,1 5/16
1 1/4,1 9/32,1 11/32,1 7/16
1 3/8,1 7/16,1 1/2,1 39/64
1 1/2,1 9/16,1 5/8,1 47/64
